pv_output,direct_irradiance,diffuse_irradiance,reflected_irradiance,sun_height,temp,wind_speed,lat,lon,year_sin,year_cos
0.45885,0.23081,0.3759699999999999,0.01172,3.2570833333333336,7.415833333333333,5.051666666666667,51.507351,-0.127758,0.017213356155834685,0.9998518392091162
2.95166,2.6999,0.67269,0.0284,3.28375,4.817916666666666,5.025833333333334,51.507351,-0.127758,0.03442161162274574,0.9994074007397048
2.64758,2.42643,0.64494,0.02698,3.3120833333333333,6.357083333333333,4.454583333333333,51.507351,-0.127758,0.051619667223253764,0.998666816288476
0.44755,0.1734399999999999,0.41996,0.0127,3.3433333333333333,8.496666666666668,5.84,51.507351,-0.127758,0.06880242680231986,0.9976303053065857
0.61566,0.27393,0.52006,0.01585,3.376666666666667,5.054166666666666,4.170416666666667,51.507351,-0.127758,0.08596479873744647,0.9962981749346078
2.41885,2.15166,0.66777,0.02708,3.4125,7.427083333333333,4.7075000000000005,51.507351,-0.127758,0.10310169744743485,0.9946708199115211
0.47834,0.21304,0.4473,0.01368,3.45125,10.946666666666667,8.109166666666667,51.507351,-0.127758,0.1202080448993527,0.9927487224577402
2.84821,2.57121,0.68791,0.02842,3.3487500000000003,8.277916666666666,8.186666666666666,51.507351,-0.127758,0.13727877211326478,0.9905324521322229
1.40873,1.01537,0.6568,0.0214299999999999,3.5345833333333334,8.254166666666666,5.738333333333333,51.507351,-0.127758,0.15430882066428117,0.9880226656636976
0.09902,0.03086,0.16563,0.005,3.579166666666667,10.44875,5.94,51.507351,-0.127758,0.1712931441814776,0.9852201067560606
0.1182199999999999,0.01448,0.20745,0.00624,3.5050000000000003,9.02375,5.621666666666667,51.507351,-0.127758,0.1882267098432442,0.9821256058680006
3.25634,3.00855,0.73267,0.03259,3.5620833333333337,6.7125,5.5575,51.507351,-0.127758,0.2051044998686192,0.9787400799669153
2.95492,2.59481,0.8175,0.03176,3.6216666666666666,3.6179166666666656,2.54,51.507351,-0.127758,0.22192151300416552,0.9750645322571948
1.28361,0.8852099999999999,0.63985,0.0211,3.6833333333333336,3.28,2.936666666666667,51.507351,-0.127758,0.2386727660059501,0.9711000518829505
1.48261,1.27703,0.48485,0.01917,3.747916666666667,6.454583333333333,3.2433333333333336,51.507351,-0.127758,0.255353295116187,0.9668478136052775
1.08544,0.81358,0.5190400000000001,0.01723,3.81375,6.613333333333333,3.5225000000000004,51.507351,-0.127758,0.2719581575341055,0.9623090774541486
0.20473,0.0733999999999999,0.25289,0.00764,3.8820833333333336,7.576249999999999,5.62125,51.507351,-0.127758,0.288482432880609,0.9574851883550393
2.99128,2.63268,0.7657499999999999,0.0345,3.952916666666667,4.348333333333334,5.614999999999999,51.507351,-0.127758,0.30492122465628907,0.9523775757303974
2.78139,2.42811,0.77551,0.03236,4.02625,6.390833333333333,4.8566666666666665,51.507351,-0.127758,0.3212696616923644,0.9469877530760753
0.1426899999999999,0.03254,0.22915,0.00698,4.100833333333333,10.691666666666668,6.548750000000001,51.507351,-0.127758,0.3375228995941133,0.9413173175128471
2.34717,1.80402,0.89705,0.0313,4.17875,6.06,4.919583333333333,51.507351,-0.127758,0.3536761221763716,0.9353679493131483
2.97999,2.62154,0.85521,0.03598,4.257499999999999,1.9329166666666664,1.8454166666666667,51.507351,-0.127758,0.3697245428906731,0.9291414114031743
3.71133,3.41002,0.8106599999999999,0.04021,4.18375,2.2341666666666664,4.12375,51.507351,-0.127758,0.38566340624360707,0.9226395488404876
3.06605,2.58896,0.8598,0.03629,4.274166666666667,1.63375,5.014166666666667,51.507351,-0.127758,0.401487989205973,0.9158642882672872
1.98679,1.42388,0.85196,0.03009,4.36625,1.25625,3.85375,51.507351,-0.127758,0.4171936026123168,0.9088176373395029
3.06735,2.61707,0.87888,0.0386699999999999,4.461666666666667,0.7141666666666667,3.1604166666666664,51.507351,-0.127758,0.4327755925504312,0.901501684131884
0.49121,0.25828,0.41432,0.01333,4.557916666666666,4.39375,4.422083333333333,51.507351,-0.127758,0.4482293417404106,0.893918596519257
0.18561,0.05343,0.25789,0.00792,4.6554166666666665,5.184166666666667,5.257916666666667,51.507351,-0.127758,0.4635502709028509,0.886070621534138
0.83088,0.53122,0.50834,0.01799,4.757083333333333,5.406666666666666,3.2816666666666667,51.507351,-0.127758,0.47873384011578846,0.8779600847008882
0.42974,0.1162499999999999,0.48821,0.01507,4.860416666666667,5.316666666666666,2.7375000000000003,51.507351,-0.127758,0.4937755501599772,0.869589389346611
0.86755,0.51708,0.56784,0.0195,4.965416666666667,7.18375,3.7075,51.507351,-0.127758,0.5086709438521044,0.8609610158889943
1.63371,1.27833,0.63498,0.02552,5.071666666666666,7.517500000000001,3.4266666666666663,51.507351,-0.127758,0.5234156073655503,0.8520775211013093
1.11779,0.72294,0.6421399999999999,0.02258,5.180833333333333,5.509166666666666,2.9137500000000003,51.507351,-0.127758,0.5380051715382996,0.8429415373547828
0.29905,0.12216,0.32832,0.01069,5.292083333333333,5.634583333333333,1.7387499999999998,51.507351,-0.127758,0.5524353131676196,0.8335557718385699
0.50829,0.27078,0.4282,0.01454,5.404583333333334,6.824583333333333,1.6458333333333333,51.507351,-0.127758,0.5667017562911176,0.8239230057575542
1.64649,1.27535,0.67296,0.02741,5.519166666666667,5.367083333333333,2.37875,51.507351,-0.127758,0.5808002734538009,0.8140460935082178
1.96791,1.52836,0.78746,0.033,5.635416666666667,5.264583333333333,2.5229166666666667,51.507351,-0.127758,0.5947266869607634,0.8039279618328213
3.33943,2.81707,1.04291,0.04663,5.753333333333334,3.0883333333333334,2.3229166666666665,51.507351,-0.127758,0.6084768701151261,0.7935716089521474
2.21982,1.7016399999999998,0.91877,0.0372,5.872916666666668,4.30875,2.152083333333333,51.507351,-0.127758,0.6220467484408675,0.7829801036770629
1.00833,0.40214,0.84949,0.02711,5.994166666666666,6.990416666666667,4.22625,51.507351,-0.127758,0.6354323008901774,0.7721565844991642
0.06847,0.0,0.15876,0.00475,6.11625,9.13375,5.577500000000001,51.507351,-0.127758,0.6486295610349814,0.7611042586607747
0.25807,0.0485799999999999,0.34528,0.01074,6.24125,8.300833333333333,2.5091666666666668,51.507351,-0.127758,0.6616346182422783,0.7498264012045686
