timestamp,actual_production,actual_consumption,excess_consumption_no_shift,cost_without_shifting,cost_with_shifting,adjusted_consumption,excess_consumption_with_shift,color_code_without_shift,color_code_with_shift
2021-02-01 00:00:00,29.02,37.731253335000005,8.711253335000006,3.7085547697762022,3.4194216847202332,37.05209077497001,8.032090774970012,red,red
2021-02-01 01:00:00,27.09,39.28893333,12.19893333,5.1883283345823,4.8875487623598195,38.58173253006,11.491732530060002,red,red
2021-02-01 02:00:00,40.56,37.47248667,0.0,0.0,0.0,37.47248667,0.0,blue,blue
2021-02-01 03:00:00,37.72,37.343326665,0.0,0.0,0.0,37.343326665,0.0,blue,blue
2021-02-01 04:00:00,47.98,38.38646334,0.0,0.0,0.0,38.38646334,0.0,blue,blue
2021-02-01 05:00:00,57.48,40.32942333,0.0,0.0,0.0,40.32942333,0.0,blue,blue
2021-02-01 06:00:00,62.59,45.68583333,0.0,0.0,0.0,45.68583333,0.0,blue,blue
2021-02-01 07:00:00,80.62,45.15312666,0.0,0.0,0.0,45.15312666,0.0,blue,blue
2021-02-01 08:00:00,88.6318333,51.12702666,0.0,0.0,0.0,53.50094400015,0.0,blue,blue
2021-02-01 09:00:00,74.9032499,49.20076000499999,0.0,0.0,0.0,49.20076000499999,0.0,blue,blue
2021-02-01 10:00:00,94.2221665,46.328563335,0.0,0.0,0.0,49.95712291485,0.0,blue,blue
2021-02-01 11:00:00,77.3278335,34.394233335,0.0,0.0,0.0,38.02279291485,0.0,blue,blue
2021-02-01 12:00:00,53.0815,34.71581667,0.0,0.0,0.0,34.71581667,0.0,blue,blue
2021-02-01 13:00:00,44.658833,44.540299995,0.0,0.0,0.0,43.337711895135,0.0,blue,blue
2021-02-01 14:00:00,32.459250000000004,48.024946665,15.565696664999997,13.919468585709598,12.759931221455442,46.728273105045005,14.269023105045001,red,red
2021-02-01 15:00:00,46.642300000000006,49.473613335,2.8313133349999973,4.1184283770909955,2.6007549221133375,48.4302519607544,1.7879519607543912,red,red
2021-02-01 16:00:00,50.29,46.163779995,0.0,0.0,0.0,46.163779995,0.0,blue,blue
2021-02-01 17:00:00,47.62,36.91919334,0.0,0.0,0.0,36.91919334,0.0,blue,blue
2021-02-01 18:00:00,50.86,49.790800005,0.0,0.0,0.0,49.790800005,0.0,blue,blue
2021-02-01 19:00:00,55.65,82.21989332999999,26.569893329999992,17.193377973842995,15.756856663549243,79.99995621009,24.349956210090006,red,red
2021-02-01 20:00:00,45.14,47.83752,2.6975199999999973,1.5793979599999985,0.8231585250799975,46.545906959999996,1.4059069599999958,red,red
2021-02-01 21:00:00,49.33,54.05682666,4.72682666,2.7130094297736003,2.029710080822311,52.8663267140956,3.536326714095601,red,red
2021-02-01 22:00:00,40.74,40.76112333,0.021123329999994667,0.010840281722697263,0.010840281722697263,40.76112333,0.021123329999994667,red,red
2021-02-01 23:00:00,39.19,33.16992333,0.0,0.0,0.0,33.16992333,0.0,blue,blue
